sys,t_res,s_res,time_span,tr,ta,total_time,percent_area,filter_value
Sedona,hour,1.0,5,,,2.1213412284851074,100,205
Sedona,hour,1.0,5,,,1.8490235805511475,100,240
Sedona,hour,1.0,5,,,1.8766772747039795,100,275
Sedona,hour,1.0,5,,,1.886261224746704,100,310
Sedona,month,0.5,5,,,2.0108981132507324,100,205
Sedona,month,0.5,5,,,1.8394460678100586,100,240
Sedona,month,0.5,5,,,1.9238779544830322,100,275
Sedona,month,0.5,5,,,1.9281177520751953,100,310
Sedona,year,1.0,5,,,1.9430007934570312,100,205
Sedona,year,1.0,5,,,1.8527352809906006,100,240
Sedona,year,1.0,5,,,1.8631482124328613,100,275
Sedona,year,1.0,5,,,1.9394793510437012,100,310
