sys,t_res,s_res,time_span,tr,ta,total_time,percent_area
Sedona,year,0.25,1.0,,,2.3682267665863037,100
Sedona,year,0.25,2.5,,,0.056125640869140625,100
Sedona,year,0.25,5.0,,,2.3646483421325684,100
Sedona,year,1.0,1.0,,,2.1515166759490967,100
Sedona,year,1.0,2.5,,,0.06167960166931152,100
Sedona,year,1.0,5.0,,,2.2774288654327393,100
Sedona,year,0.25,1.0,,,2.795412063598633,100
Sedona,year,0.25,2.5,,,0.07742953300476074,100
Sedona,year,0.25,5.0,,,2.5367491245269775,100
Sedona,year,1.0,1.0,,,2.2158865928649902,100
Sedona,year,1.0,2.5,,,0.027565956115722656,100
Sedona,year,1.0,5.0,,,2.105553388595581,100
