sys,t_res,s_res,time_span,tr,ta,total_time,percent_area
Sedona,hour,0.25,5,,,248.3046269416809,100
Sedona,hour,0.5,5,,,248.79984855651855,100
Sedona,hour,1.0,5,,,245.8656439781189,100
Sedona,day,0.25,5,,,238.75546789169312,100
Sedona,day,0.5,5,,,102.33361625671387,100
Sedona,day,1.0,5,,,20.067212343215942,100
Sedona,year,0.25,5,,,3.6246232986450195,100
Sedona,year,0.5,5,,,3.3152666091918945,100
Sedona,year,1.0,5,,,2.764622211456299,100
Sedona,month,0.5,5,,,3.1561472415924072,100
Sedona,month,1.0,5,,,2.7201414108276367,100
