sys,t_res,s_res,time_span,tr,ta,total_time,percent_area
Sedona,hour,0.25,5,,,0.0382695198059082,100
Sedona,hour,0.5,5,,,0.03198122978210449,100
Sedona,hour,1.0,5,,,0.030652523040771484,100
Sedona,day,0.25,5,,,0.024533748626708984,100
Sedona,day,0.5,5,,,0.03746843338012695,100
Sedona,day,1.0,5,,,0.0224761962890625,100
Sedona,year,0.25,5,,,0.03540825843811035,100
Sedona,year,0.5,5,,,0.05091238021850586,100
Sedona,year,1.0,5,,,0.01598191261291504,100
Sedona,month,0.5,5,,,0.022892475128173828,100
Sedona,month,1.0,5,,,0.016104698181152344,100
